amount,hour,isWeekend,daysSinceLastTransaction,merchantCategory,userActivityLevel,amountVelocity,timeOfDayRisk,merchantRiskScore,isRoundAmount,isFraud,fraudPattern,transactionID,userID,merchantID
0.0,0,0,0,0,1,0.0,2,1,1,False,none,,,
180.0,14,0,0,6,5,1800.0,1,1,1,False,none,1770,14,M867
319.91,14,0,0,7,2,3199.1,1,1,0,False,none,1771,1,M949
293.56,14,0,0,7,2,2935.6,1,1,0,False,none,1772,21,M928
125.29,14,0,0,4,1,1252.9,1,1,0,False,none,1773,10,M325
289.32,14,0,0,4,2,2893.2,1,1,0,False,none,1774,1,M973
201.15,14,0,0,8,3,2011.5,1,1,0,False,none,1775,7,M402
44.6,14,0,0,9,4,446.0,1,1,0,False,none,1776,13,M484
115.0,14,0,0,6,5,1150.0,1,1,0,True,duplicate_amount,1777,14,M940
45.18,14,0,0,2,2,451.79999999999995,1,1,0,False,none,1778,16,M971
105.15,14,0,0,9,1,1051.5,1,1,0,False,none,1779,5,M341
21.82,14,0,0,5,5,218.2,1,1,0,False,none,1780,4,M133
23.47,14,0,0,7,5,234.7,1,1,0,False,none,1781,24,M204
23.33,14,0,0,2,4,233.29999999999998,1,3,0,False,none,1782,3,M817
79.95,14,0,0,7,4,799.5,1,1,0,False,none,1783,13,M898
6.69,14,0,0,5,4,66.9,1,2,0,False,none,1784,23,M365
147.9,14,0,0,9,1,1479.0,1,1,0,False,none,1785,10,M810
287.25,14,0,0,8,1,2872.5,1,1,0,False,none,1786,20,M207
228.82,14,0,0,7,1,2288.2,1,1,0,False,none,1787,20,M539
96.92,14,0,0,2,4,969.1999999999999,1,1,0,False,none,1788,13,M756
509.86,14,0,0,9,3,5098.599999999999,1,1,0,False,none,1789,22,M633
336.71,14,0,0,1,1,3367.0999999999995,1,1,0,False,none,1790,20,M455
76.9,14,0,0,0,1,769.0,1,3,0,False,none,1791,5,M324
203.54,14,0,0,8,1,2035.3999999999999,1,1,0,False,none,1792,10,M524
70.06,14,0,0,6,1,700.6,1,1,0,False,none,1793,5,M401
105.74,14,0,0,2,2,1057.3999999999999,1,1,0,False,none,1794,6,M844
118.48,14,0,0,9,2,1184.8,1,1,0,False,none,1795,6,M170
21.21,14,0,0,2,4,212.1,1,1,0,False,none,1796,23,M827
17.18,14,0,0,0,5,171.79999999999998,1,1,0,False,none,1797,4,M244
890.85,14,0,0,8,5,8908.5,1,2,0,False,none,1798,19,M796
3.6,14,0,0,6,4,36.0,1,1,0,False,none,1799,18,M173
101.48,14,0,0,4,1,1014.8,1,1,0,False,none,1800,15,M744
